Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,MP_Playing,Starts_Playing,Min_Playing,Mins_Per_90_Playing,Gls,Ast,G_minus_PK,PK,PKatt,CrdY,CrdR,Gls_Per,Ast_Per,G+A_Per,G_minus_PK_Per,G+A_minus_PK_Per,Url
2012,Bordeaux,Ligue 1,Yoan Gouffran,FRA,"FW,MF",25,1986,34,31,2542,28.2,14,3,13,1,1,3,0,0.5,0.11,0.6,0.46,0.57,https://fbref.com/en/players/a28d181a/Yoan-Gouffran
2012,Fiorentina,Serie A,Stevan Jovetić,MNE,"FW,MF",21,1989,27,27,2345,26.1,14,3,10,4,5,3,0,0.54,0.12,0.65,0.38,0.5,https://fbref.com/en/players/f36c432f/Stevan-Jovetic
2012,Manchester City,Premier League,Edin Džeko,BIH,FW,25,1986,30,16,1509,16.8,14,3,14,0,0,1,0,0.83,0.18,1.01,0.83,1.01,https://fbref.com/en/players/3bb7f478/Edin-Dzeko
2012,Sevilla,La Liga,Álvaro Negredo,ESP,FW,25,1985,30,28,2318,25.8,14,3,13,1,3,5,0,0.54,0.12,0.66,0.5,0.62,https://fbref.com/en/players/63b0ca6b/Alvaro-Negredo
2013,Lille,Ligue 1,Salomon Kalou,CIV,"FW,MF",26,1985,28,25,2193,24.4,14,3,13,1,2,2,0,0.57,0.12,0.7,0.53,0.66,https://fbref.com/en/players/2042d931/Salomon-Kalou
2013,Manchester City,Premier League,Edin Džeko,BIH,FW,26,1986,32,16,1822,20.2,14,3,14,0,1,4,0,0.69,0.15,0.84,0.69,0.84,https://fbref.com/en/players/3bb7f478/Edin-Dzeko
2013,Zaragoza,La Liga,Hélder Postiga,POR,FW,29,1982,37,36,3151,35,14,3,13,1,1,7,0,0.4,0.09,0.49,0.37,0.46,https://fbref.com/en/players/c8504093/Helder-Postiga
2014,Newcastle Utd,Premier League,Loïc Rémy,FRA,FW,26,1987,26,24,2098,23.3,14,3,14,0,1,2,1,0.6,0.13,0.73,0.6,0.73,https://fbref.com/en/players/5c2da10f/Loic-Remy
2015,Arsenal,Premier League,Olivier Giroud,FRA,FW,27,1986,27,21,1862,20.7,14,3,14,0,0,5,1,0.68,0.15,0.82,0.68,0.82,https://fbref.com/en/players/16ceb862/Olivier-Giroud
2015,Toulouse,Ligue 1,Wissam Ben Yedder,FRA,"FW,MF",23,1990,36,34,2860,31.8,14,3,12,2,2,1,0,0.44,0.09,0.53,0.38,0.47,https://fbref.com/en/players/942b4f90/Wissam-Ben-Yedder
2016,Genoa,Serie A,Leonardo Pavoletti,ITA,FW,26,1988,25,22,1914,21.3,14,3,14,0,0,3,1,0.66,0.14,0.8,0.66,0.8,https://fbref.com/en/players/d37b0350/Leonardo-Pavoletti
2016,Werder Bremen,Bundesliga,Claudio Pizarro,PER,FW,36,1978,28,17,1740,19.3,14,3,9,5,6,3,0,0.72,0.16,0.88,0.47,0.62,https://fbref.com/en/players/54b6ee79/Claudio-Pizarro
2018,Hannover 96,Bundesliga,Niclas Füllkrug,GER,FW,24,1993,34,26,2387,26.5,14,3,11,3,4,2,0,0.53,0.11,0.64,0.41,0.53,https://fbref.com/en/players/4f16405e/Niclas-Fullkrug
2020,Celta Vigo,La Liga,Iago Aspas,ESP,FW,31,1987,37,37,3262,36.2,14,3,9,5,7,9,0,0.39,0.08,0.47,0.25,0.33,https://fbref.com/en/players/7dcf86f6/Iago-Aspas
2020,Inter,Serie A,Lautaro Martínez,ARG,FW,21,1997,35,29,2452,27.2,14,3,12,2,3,8,1,0.51,0.11,0.62,0.44,0.55,https://fbref.com/en/players/f7036e1c/Lautaro-Martinez
2020,Sevilla,La Liga,Lucas Ocampos,ARG,FW,25,1994,33,31,2745,30.5,14,3,9,5,5,10,1,0.46,0.1,0.56,0.3,0.39,https://fbref.com/en/players/a08b974a/Lucas-Ocampos
2010,Aston Villa,Premier League,Gabby Agbonlahor,ENG,"FW,MF",22,1986,36,35,3075,34.2,13,3,13,0,0,3,0,0.38,0.09,0.47,0.38,0.47,https://fbref.com/en/players/db80f5f1/Gabby-Agbonlahor
2010,Lille,Ligue 1,Gervinho,CIV,"FW,MF",22,1987,32,28,2433,27,13,3,13,0,0,4,0,0.48,0.11,0.59,0.48,0.59,https://fbref.com/en/players/e468c053/Gervinho
2011,Saint-Étienne,Ligue 1,Dimitri Payet,FRA,"FW,MF",23,1987,33,28,2519,28,13,3,12,1,2,5,0,0.46,0.11,0.57,0.43,0.54,https://fbref.com/en/players/58ae47b2/Dimitri-Payet
2011,Schalke 04,Bundesliga,Raúl,ESP,FW,33,1977,34,34,2886,32.1,13,3,13,0,0,2,0,0.41,0.09,0.5,0.41,0.5,https://fbref.com/en/players/2b81295d/Raul
2013,Bologna,Serie A,Alberto Gilardino,ITA,FW,30,1982,36,35,3048,33.9,13,3,13,0,0,4,0,0.38,0.09,0.47,0.38,0.47,https://fbref.com/en/players/45aa5d13/Alberto-Gilardino
2013,Evian,Ligue 1,Saber Khalifa,TUN,FW,25,1986,25,21,2004,22.3,13,3,12,1,1,2,1,0.58,0.13,0.72,0.54,0.67,https://fbref.com/en/players/05174d9e/Saber-Khalifa
2013,Valencia,La Liga,Jonas,BRA,FW,28,1984,35,30,2399,26.7,13,3,12,1,1,5,2,0.49,0.11,0.6,0.45,0.56,https://fbref.com/en/players/9bcd6455/Jonas
2015,Genoa,Serie A,Iago Falque,ESP,"FW,MF",24,1990,32,28,2334,25.9,13,3,11,2,2,6,0,0.5,0.12,0.62,0.42,0.54,https://fbref.com/en/players/440c84ed/Iago-Falque
2016,Celta Vigo,La Liga,Iago Aspas,ESP,"FW,MF",27,1987,35,31,2654,29.5,13,3,12,1,1,8,0,0.44,0.1,0.54,0.41,0.51,https://fbref.com/en/players/7dcf86f6/Iago-Aspas
2016,Stuttgart,Bundesliga,Daniel Didavi,GER,"MF,FW",25,1990,31,30,2420,26.9,13,3,11,2,2,9,1,0.48,0.11,0.6,0.41,0.52,https://fbref.com/en/players/d3096421/Daniel-Didavi
2017,Betis,La Liga,Rubén Castro,ESP,FW,35,1981,35,32,2777,30.9,13,3,11,2,2,3,0,0.42,0.1,0.52,0.36,0.45,https://fbref.com/en/players/d109f62b/Ruben-Castro
2017,Milan,Serie A,Carlos Bacca,COL,FW,29,1986,32,26,2112,23.5,13,3,9,4,6,3,0,0.55,0.13,0.68,0.38,0.51,https://fbref.com/en/players/09a9e921/Carlos-Bacca
2018,Augsburg,Bundesliga,Michael Gregoritsch,AUT,"MF,FW",23,1994,32,30,2527,28.1,13,3,12,1,1,3,0,0.46,0.11,0.57,0.43,0.53,https://fbref.com/en/players/8e235926/Michael-Gregoritsch
2018,Dortmund,Bundesliga,Pierre-Emerick Aubameyang,GAB,FW,28,1989,16,16,1416,15.7,13,3,10,3,4,1,1,0.83,0.19,1.02,0.64,0.83,https://fbref.com/en/players/d5dd5f1f/Pierre-Emerick-Aubameyang
2018,Manchester City,Premier League,Gabriel Jesus,BRA,FW,20,1997,29,19,1668,18.5,13,3,13,0,2,6,0,0.7,0.16,0.86,0.7,0.86,https://fbref.com/en/players/b66315ae/Gabriel-Jesus
2019,Lille,Ligue 1,Jonathan Bamba,FRA,"FW,MF",22,1996,38,35,3004,33.4,13,3,12,1,1,4,0,0.39,0.09,0.48,0.36,0.45,https://fbref.com/en/players/b2bd0f6c/Jonathan-Bamba
2020,Everton,Premier League,Richarlison,BRA,FW,22,1997,36,36,3070,34.1,13,3,13,0,0,8,0,0.38,0.09,0.47,0.38,0.47,https://fbref.com/en/players/fa031b34/Richarlison
2021,Levante,La Liga,José Luis Morales,ESP,"FW,MF",33,1987,38,30,2439,27.1,13,3,13,0,1,3,0,0.48,0.11,0.59,0.48,0.59,https://fbref.com/en/players/4a478107/Jose-Luis-Morales
2011,Fiorentina,Serie A,Alberto Gilardino,ITA,FW,28,1982,35,35,3030,33.7,12,3,12,0,0,3,0,0.36,0.09,0.45,0.36,0.45,https://fbref.com/en/players/45aa5d13/Alberto-Gilardino
2011,Fulham,Premier League,Clint Dempsey,USA,"FW,MF",27,1983,37,35,3091,34.3,12,3,11,1,2,5,0,0.35,0.09,0.44,0.32,0.41,https://fbref.com/en/players/523d9de6/Clint-Dempsey
2011,Montpellier,Ligue 1,Olivier Giroud,FRA,FW,23,1986,37,33,2909,32.3,12,3,9,3,3,4,0,0.37,0.09,0.46,0.28,0.37,https://fbref.com/en/players/16ceb862/Olivier-Giroud
2011,Sevilla,La Liga,Frédéric Kanouté,MLI,FW,32,1977,28,19,1891,21,12,3,9,3,4,6,0,0.57,0.14,0.71,0.43,0.57,https://fbref.com/en/players/1a24d5b6/Frederic-Kanoute
2014,Celta Vigo,La Liga,Charles,BRA,FW,29,1984,30,29,2315,25.7,12,3,12,0,1,5,1,0.47,0.12,0.58,0.47,0.58,https://fbref.com/en/players/c4b8bcf4/Charles
2014,Manchester Utd,Premier League,Robin van Persie,NED,FW,29,1983,21,18,1579,17.5,12,3,10,2,2,2,0,0.68,0.17,0.85,0.57,0.74,https://fbref.com/en/players/3fcab3a8/Robin-van-Persie
2015,Mainz 05,Bundesliga,Shinji Okazaki,JPN,"FW,MF",28,1986,32,31,2784,30.9,12,3,12,0,0,4,0,0.39,0.1,0.48,0.39,0.48,https://fbref.com/en/players/68796d61/Shinji-Okazaki
2016,Dortmund,Bundesliga,Marco Reus,GER,"MF,FW",26,1989,26,24,1909,21.2,12,3,11,1,2,2,0,0.57,0.14,0.71,0.52,0.66,https://fbref.com/en/players/36a3ff67/Marco-Reus
2016,Fiorentina,Serie A,Nikola Kalinić,CRO,FW,27,1988,36,25,2576,28.6,12,3,12,0,1,5,0,0.42,0.1,0.52,0.42,0.52,https://fbref.com/en/players/d4931a5a/Nikola-Kalinic
2016,Málaga,La Liga,Charles,BRA,FW,31,1984,35,33,3003,33.4,12,3,11,1,1,12,0,0.36,0.09,0.45,0.33,0.42,https://fbref.com/en/players/c4b8bcf4/Charles
2016,Schalke 04,Bundesliga,Klaas-Jan Huntelaar,NED,FW,31,1983,31,29,2475,27.5,12,3,10,2,4,2,0,0.44,0.11,0.55,0.36,0.47,https://fbref.com/en/players/5042e5c2/Klaas-Jan-Huntelaar
2016,Villarreal,La Liga,Cédric Bakambu,COD,FW,24,1991,34,21,1859,20.7,12,3,12,0,0,4,0,0.58,0.15,0.73,0.58,0.73,https://fbref.com/en/players/0af4dcf0/Cedric-Bakambu
2017,Arsenal,Premier League,Olivier Giroud,FRA,FW,29,1986,29,11,1206,13.4,12,3,12,0,0,2,0,0.9,0.22,1.12,0.9,1.12,https://fbref.com/en/players/16ceb862/Olivier-Giroud
2017,Sampdoria,Serie A,Fabio Quagliarella,ITA,FW,33,1983,37,35,2875,31.9,12,3,9,3,4,2,0,0.38,0.09,0.47,0.28,0.38,https://fbref.com/en/players/ee4f2f3b/Fabio-Quagliarella
2018,Augsburg,Bundesliga,Alfreð Finnbogason,ISL,FW,28,1989,22,22,1814,20.2,12,3,9,3,3,2,0,0.6,0.15,0.74,0.45,0.6,https://fbref.com/en/players/f9e7c4ac/Alfred-Finnbogason
2018,Hertha BSC,Bundesliga,Salomon Kalou,CIV,"FW,MF",31,1985,31,27,2207,24.5,12,3,11,1,2,0,0,0.49,0.12,0.61,0.45,0.57,https://fbref.com/en/players/2042d931/Salomon-Kalou
2019,Bournemouth,Premier League,Joshua King,NOR,"FW,MF",26,1992,35,34,2961,32.9,12,3,7,5,6,3,0,0.36,0.09,0.46,0.21,0.3,https://fbref.com/en/players/43458538/Joshua-King
2020,Cagliari,Serie A,Giovanni Simeone,ARG,FW,24,1995,37,34,2924,32.5,12,3,12,0,0,4,0,0.37,0.09,0.46,0.37,0.46,https://fbref.com/en/players/343c0d52/Giovanni-Simeone
2020,Eint Frankfurt,Bundesliga,André Silva,POR,FW,23,1995,25,16,1575,17.5,12,3,11,1,1,1,0,0.69,0.17,0.86,0.63,0.8,https://fbref.com/en/players/3effaa34/Andre-Silva
2020,Metz,Ligue 1,Habib Diallo,SEN,FW,24,1995,26,26,2196,24.4,12,3,11,1,3,2,1,0.49,0.12,0.61,0.45,0.57,https://fbref.com/en/players/6605d143/Habib-Diallo
2020,Parma,Serie A,Andreas Cornelius,DEN,FW,26,1993,26,17,1494,16.6,12,3,12,0,0,1,0,0.72,0.18,0.9,0.72,0.9,https://fbref.com/en/players/c693347d/Andreas-Cornelius
2021,Bordeaux,Ligue 1,Hwang Ui-jo,KOR,"FW,MF",27,1992,36,32,2503,27.8,12,3,9,3,3,1,0,0.43,0.11,0.54,0.32,0.43,https://fbref.com/en/players/a2d873dd/Hwang-Ui-jo
2021,Burnley,Premier League,Chris Wood,NZL,FW,28,1991,33,32,2741,30.5,12,3,10,2,2,0,0,0.39,0.1,0.49,0.33,0.43,https://fbref.com/en/players/4e9a0555/Chris-Wood
2021,Celta Vigo,La Liga,Santi Mina,ESP,FW,24,1995,34,29,2412,26.8,12,3,11,1,1,4,0,0.45,0.11,0.56,0.41,0.52,https://fbref.com/en/players/0b90bb97/Santi-Mina
2010,Chievo,Serie A,Sergio Pellissier,ITA,FW,30,1979,35,35,3085,34.3,11,3,11,0,0,4,0,0.32,0.09,0.41,0.32,0.41,https://fbref.com/en/players/878ee034/Sergio-Pellissier
2010,Montpellier,Ligue 1,Víctor Montaño,COL,FW,25,1984,36,33,3030,33.7,11,3,10,1,2,11,0,0.33,0.09,0.42,0.3,0.39,https://fbref.com/en/players/bcd514bc/Victor-Montano
2010,Nancy,Ligue 1,Youssouf Hadji,MAR,"FW,MF",29,1980,26,24,2141,23.8,11,3,9,2,2,1,1,0.46,0.13,0.59,0.38,0.5,https://fbref.com/en/players/6ae62163/Youssouf-Hadji
2011,Hamburger SV,Bundesliga,Mladen Petrić,CRO,FW,29,1981,22,18,1731,19.2,11,3,10,1,1,1,0,0.57,0.16,0.73,0.52,0.68,https://fbref.com/en/players/2cc63c53/Mladen-Petric
2011,Roma,Serie A,Marco Borriello,ITA,FW,28,1982,34,25,2283,25.4,11,3,10,1,1,2,0,0.43,0.12,0.55,0.39,0.51,https://fbref.com/en/players/a889ffc7/Marco-Borriello
2012,Chelsea,Premier League,Daniel Sturridge,ENG,"FW,MF",21,1989,30,28,2251,25,11,3,11,0,0,3,0,0.44,0.12,0.56,0.44,0.56,https://fbref.com/en/players/1b7ec703/Daniel-Sturridge
2012,Lecce,Serie A,David Di Michele,ITA,FW,35,1976,29,28,2441,27.1,11,3,6,5,6,6,0,0.41,0.11,0.52,0.22,0.33,https://fbref.com/en/players/e0edcd05/David-Di-Michele
2012,Liverpool,Premier League,Luis Suárez,URU,FW,24,1987,31,29,2544,28.3,11,3,11,0,1,5,0,0.39,0.11,0.5,0.39,0.5,https://fbref.com/en/players/a6154613/Luis-Suarez
2012,Málaga,La Liga,Salomón Rondón,VEN,FW,21,1989,37,29,2472,27.5,11,3,11,0,0,1,0,0.4,0.11,0.51,0.4,0.51,https://fbref.com/en/players/b318a643/Salomon-Rondon
2013,Arsenal,Premier League,Olivier Giroud,FRA,FW,25,1986,34,24,2333,25.9,11,3,11,0,0,3,1,0.42,0.12,0.54,0.42,0.54,https://fbref.com/en/players/16ceb862/Olivier-Giroud
2013,Tottenham,Premier League,Jermain Defoe,ENG,FW,29,1982,34,27,2409,26.8,11,3,11,0,0,4,0,0.41,0.11,0.52,0.41,0.52,https://fbref.com/en/players/f1e8372d/Jermain-Defoe
2013,Udinese,Serie A,Luis Muriel,COL,FW,21,1991,22,15,1386,15.4,11,3,11,0,0,5,0,0.71,0.19,0.91,0.71,0.91,https://fbref.com/en/players/eb2fe5b6/Luis-Muriel
2014,Guingamp,Ligue 1,Mustapha Yatabaré,MLI,"FW,MF",27,1986,31,30,2666,29.6,11,3,8,3,5,6,0,0.37,0.1,0.47,0.27,0.37,https://fbref.com/en/players/398dc4f4/Mustapha-Yatabare
2015,Leicester City,Premier League,Leonardo Ulloa,ARG,FW,28,1986,37,29,2398,26.6,11,3,9,2,2,3,0,0.41,0.11,0.53,0.34,0.45,https://fbref.com/en/players/eed56f6c/Leonardo-Ulloa
2015,Montpellier,Ligue 1,Lucas Barrios,PAR,FW,29,1984,31,30,2260,25.1,11,3,9,2,4,0,0,0.44,0.12,0.56,0.36,0.48,https://fbref.com/en/players/618feb69/Lucas-Barrios
2015,Napoli,Serie A,José Callejón,ESP,"FW,MF",27,1987,38,33,2966,33,11,3,11,0,0,1,0,0.33,0.09,0.42,0.33,0.42,https://fbref.com/en/players/78841da9/Jose-Callejon
2015,Stoke City,Premier League,Mame Biram Diouf,SEN,"FW,MF",26,1987,34,28,2433,27,11,3,11,0,0,7,0,0.41,0.11,0.52,0.41,0.52,https://fbref.com/en/players/7f4f3e49/Mame-Biram-Diouf
2016,Lorient,Ligue 1,Abdul Majeed Waris,GHA,FW,23,1991,21,20,1651,18.3,11,3,9,2,2,1,1,0.6,0.16,0.76,0.49,0.65,https://fbref.com/en/players/46907171/Abdul-Majeed-Waris
2016,Swansea City,Premier League,Gylfi Sigurðsson,ISL,"MF,FW",25,1989,36,32,2914,32.4,11,3,8,3,3,6,0,0.34,0.09,0.43,0.25,0.34,https://fbref.com/en/players/76dd1480/Gylfi-Sigurdsson
2016,Udinese,Serie A,Cyril Théréau,FRA,FW,32,1983,36,34,2894,32.2,11,3,11,0,0,2,1,0.34,0.09,0.44,0.34,0.44,https://fbref.com/en/players/4d3ab428/Cyril-Thereau
2017,Freiburg,Bundesliga,Florian Niederlechner,GER,FW,25,1990,34,29,2410,26.8,11,3,8,3,3,4,0,0.41,0.11,0.52,0.3,0.41,https://fbref.com/en/players/d6862409/Florian-Niederlechner
2017,M'Gladbach,Bundesliga,Lars Stindl,GER,"FW,MF",27,1988,30,29,2589,28.8,11,3,11,0,1,8,0,0.38,0.1,0.49,0.38,0.49,https://fbref.com/en/players/7cd6badb/Lars-Stindl
2017,Palermo,Serie A,Ilija Nestorovski,MKD,FW,26,1990,37,34,3105,34.5,11,3,10,1,1,5,0,0.32,0.09,0.41,0.29,0.38,https://fbref.com/en/players/b1236c63/Ilija-Nestorovski
2017,Toulouse,Ligue 1,Martin Braithwaite,DEN,"FW,MF",25,1991,34,33,2945,32.7,11,3,7,4,6,7,0,0.34,0.09,0.43,0.21,0.31,https://fbref.com/en/players/fd771f95/Martin-Braithwaite
2018,Dijon,Ligue 1,Kwon Chang-hoon,KOR,"FW,MF",23,1994,34,26,2137,23.7,11,3,11,0,0,3,0,0.46,0.13,0.59,0.46,0.59,https://fbref.com/en/players/7961f7aa/Kwon-Chang-hoon
2018,Sampdoria,Serie A,Duván Zapata,COL,FW,26,1991,31,24,2108,23.4,11,3,11,0,0,1,0,0.47,0.13,0.6,0.47,0.6,https://fbref.com/en/players/d3de9af0/Duvan-Zapata
2019,Fulham,Premier League,Aleksandar Mitrović,SRB,FW,23,1994,37,37,3280,36.4,11,3,10,1,1,7,0,0.3,0.08,0.38,0.27,0.36,https://fbref.com/en/players/3925dbd6/Aleksandar-Mitrovic
2019,Roma,Serie A,Stephan El Shaarawy,ITA,FW,25,1992,28,23,2104,23.4,11,3,11,0,0,2,0,0.47,0.13,0.6,0.47,0.6,https://fbref.com/en/players/d3aaad90/Stephan-El-Shaarawy
2019,Sampdoria,Serie A,Grégoire Defrel,MTQ,"FW,MF",27,1991,36,26,2339,26,11,3,11,0,0,2,0,0.42,0.12,0.54,0.42,0.54,https://fbref.com/en/players/854ee61a/Gregoire-Defrel
2020,Getafe,La Liga,Jaime Mata,ESP,FW,30,1988,34,33,2747,30.5,11,3,8,3,4,14,0,0.36,0.1,0.46,0.26,0.36,https://fbref.com/en/players/02319ad7/Jaime-Mata
2020,Milan,Serie A,Ante Rebić,CRO,FW,25,1993,26,15,1395,15.5,11,3,11,0,0,5,0,0.71,0.19,0.9,0.71,0.9,https://fbref.com/en/players/536cebe5/Ante-Rebic
2020,Nice,Ligue 1,Kasper Dolberg,DEN,FW,21,1997,23,22,1888,21,11,3,11,0,0,2,0,0.52,0.14,0.67,0.52,0.67,https://fbref.com/en/players/cc83b74d/Kasper-Dolberg
2020,Norwich City,Premier League,Teemu Pukki,FIN,FW,29,1990,36,33,2886,32.1,11,3,9,2,2,3,0,0.34,0.09,0.44,0.28,0.37,https://fbref.com/en/players/0745b37d/Teemu-Pukki
2020,Sampdoria,Serie A,Fabio Quagliarella,ITA,FW,36,1983,28,26,2275,25.3,11,3,6,5,7,2,0,0.44,0.12,0.55,0.24,0.36,https://fbref.com/en/players/ee4f2f3b/Fabio-Quagliarella
2021,Alavés,La Liga,Joselu,ESP,FW,30,1990,37,34,3026,33.6,11,3,9,2,4,1,0,0.33,0.09,0.42,0.27,0.36,https://fbref.com/en/players/6265208f/Joselu
2021,Napoli,Serie A,Hirving Lozano,MEX,FW,25,1995,32,23,1965,21.8,11,3,11,0,0,6,0,0.5,0.14,0.64,0.5,0.64,https://fbref.com/en/players/a69e4806/Hirving-Lozano
2021,Spezia,Serie A,M'Bala Nzola,ANG,FW,23,1996,25,21,1896,21.1,11,3,7,4,4,5,0,0.52,0.14,0.66,0.33,0.47,https://fbref.com/en/players/a4948e67/MBala-Nzola
2010,Aston Villa,Premier League,John Carew,NOR,FW,29,1979,33,22,2102,23.4,10,3,9,1,2,2,0,0.43,0.13,0.56,0.39,0.51,https://fbref.com/en/players/91ef929d/John-Carew
2010,Birmingham City,Premier League,Cameron Jerome,ENG,FW,22,1986,32,32,2671,29.7,10,3,10,0,0,5,0,0.34,0.1,0.44,0.34,0.44,https://fbref.com/en/players/680fb5ee/Cameron-Jerome
2010,Hertha BSC,Bundesliga,Adrián Ramos,COL,FW,23,1986,28,22,2140,23.8,10,3,10,0,0,1,0,0.42,0.13,0.55,0.42,0.55,https://fbref.com/en/players/c693cf7c/Adrian-Ramos
2010,West Ham,Premier League,Carlton Cole,ENG,FW,25,1983,30,26,2287,25.4,10,3,9,1,1,3,0,0.39,0.12,0.51,0.35,0.47,https://fbref.com/en/players/51b2effb/Carlton-Cole
2011,Bordeaux,Ligue 1,Anthony Modeste,FRA,FW,22,1988,37,27,2379,26.4,10,3,6,4,5,1,0,0.38,0.11,0.49,0.23,0.34,https://fbref.com/en/players/34e4343c/Anthony-Modeste
2011,Chelsea,Premier League,Salomon Kalou,CIV,"FW,MF",24,1985,31,16,1570,17.4,10,3,10,0,0,1,0,0.57,0.17,0.75,0.57,0.75,https://fbref.com/en/players/2042d931/Salomon-Kalou
2011,Lyon,Ligue 1,Bafétimbi Gomis,FRA,FW,24,1985,35,28,2363,26.3,10,3,10,0,0,0,0,0.38,0.11,0.5,0.38,0.5,https://fbref.com/en/players/3d6686f9/Bafetimbi-Gomis
2011,Mainz 05,Bundesliga,Sami Allagui,TUN,"FW,MF",24,1986,28,18,1568,17.4,10,3,10,0,0,1,0,0.57,0.17,0.75,0.57,0.75,https://fbref.com/en/players/96d9f642/Sami-Allagui
2011,Sevilla,La Liga,Luís Fabiano,BRA,FW,29,1980,21,16,1380,15.3,10,3,7,3,3,2,0,0.65,0.2,0.85,0.46,0.65,https://fbref.com/en/players/eaaeef7b/Luis-Fabiano
2012,Real Sociedad,La Liga,Imanol Agirretxe,ESP,FW,24,1987,36,27,2183,24.3,10,3,10,0,0,1,0,0.41,0.12,0.54,0.41,0.54,https://fbref.com/en/players/c84c1afc/Imanol-Agirretxe
2012,Stoke City,Premier League,Peter Crouch,ENG,FW,30,1981,32,31,2682,29.8,10,3,10,0,0,2,0,0.34,0.1,0.44,0.34,0.44,https://fbref.com/en/players/73d9bdc7/Peter-Crouch
2013,Liverpool,Premier League,Daniel Sturridge,ENG,"FW,MF",22,1989,14,11,1085,12.1,10,3,9,1,1,2,0,0.83,0.25,1.08,0.75,1,https://fbref.com/en/players/1b7ec703/Daniel-Sturridge
2013,Manchester Utd,Premier League,Javier Hernández,MEX,FW,24,1988,22,9,952,10.6,10,3,10,0,1,1,0,0.95,0.28,1.23,0.95,1.23,https://fbref.com/en/players/189cee7b/Javier-Hernandez
2013,Montpellier,Ligue 1,Younès Belhanda,MAR,"FW,MF",22,1990,30,29,2414,26.8,10,3,8,2,3,6,2,0.37,0.11,0.48,0.3,0.41,https://fbref.com/en/players/e204ec12/Younes-Belhanda
2013,Real Sociedad,La Liga,Antoine Griezmann,FRA,"FW,MF",21,1991,34,32,2848,31.6,10,3,10,0,0,8,0,0.32,0.09,0.41,0.32,0.41,https://fbref.com/en/players/df69b544/Antoine-Griezmann
2013,Schalke 04,Bundesliga,Julian Draxler,GER,"FW,MF",18,1993,30,24,2131,23.7,10,3,10,0,1,5,0,0.42,0.13,0.55,0.42,0.55,https://fbref.com/en/players/1a992676/Julian-Draxler
2013,Troyes,Ligue 1,Benjamin Nivet,FRA,MF,35,1977,37,34,2987,33.2,10,3,9,1,1,6,0,0.3,0.09,0.39,0.27,0.36,https://fbref.com/en/players/1ec4e202/Benjamin-Nivet
2014,Augsburg,Bundesliga,Halil Altıntop,TUR,"FW,MF",30,1982,34,34,2695,29.9,10,3,10,0,0,1,0,0.33,0.1,0.43,0.33,0.43,https://fbref.com/en/players/efcdb132/Halil-Altintop
2014,Bayern Munich,Bundesliga,Claudio Pizarro,PER,FW,34,1978,17,6,692,7.7,10,3,10,0,0,0,0,1.3,0.39,1.69,1.3,1.69,https://fbref.com/en/players/54b6ee79/Claudio-Pizarro
2014,Catania,Serie A,Gonzalo Bergessio,ARG,FW,29,1984,30,28,2425,26.9,10,3,9,1,1,8,1,0.37,0.11,0.48,0.33,0.45,https://fbref.com/en/players/da001952/Gonzalo-Bergessio
2014,Evian,Ligue 1,Kévin Bérigaud,FRA,FW,25,1988,32,31,2526,28.1,10,3,10,0,0,1,0,0.36,0.11,0.46,0.36,0.46,https://fbref.com/en/players/3250c6cd/Kevin-Berigaud
2014,Mainz 05,Bundesliga,Eric Maxim Choupo-Moting,CMR,"FW,MF",24,1989,32,19,2039,22.7,10,3,7,3,3,1,0,0.44,0.13,0.57,0.31,0.44,https://fbref.com/en/players/0e6bc38c/Eric-Maxim-Choupo-Moting
2014,Stuttgart,Bundesliga,Vedad Ibišević,BIH,FW,28,1984,27,25,2157,24,10,3,8,2,3,4,1,0.42,0.13,0.54,0.33,0.46,https://fbref.com/en/players/c3fd9887/Vedad-Ibisevic
2015,Hannover 96,Bundesliga,Lars Stindl,GER,"FW,MF",25,1988,21,20,1798,20,10,3,9,1,1,8,1,0.5,0.15,0.65,0.45,0.6,https://fbref.com/en/players/7cd6badb/Lars-Stindl
2015,Köln,Bundesliga,Anthony Ujah,NGA,FW,23,1990,32,28,2344,26,10,3,10,0,0,2,0,0.38,0.12,0.5,0.38,0.5,https://fbref.com/en/players/99be8fb5/Anthony-Ujah
2015,Marseille,Ligue 1,André Ayew,GHA,"FW,MF",24,1989,28,27,2387,26.5,10,3,10,0,0,7,1,0.38,0.11,0.49,0.38,0.49,https://fbref.com/en/players/5dbefa9d/Andre-Ayew
2015,Southampton,Premier League,Sadio Mané,SEN,"FW,MF",22,1992,30,24,2132,23.7,10,3,10,0,0,5,0,0.42,0.13,0.55,0.42,0.55,https://fbref.com/en/players/c691bfe2/Sadio-Mane
2016,Lazio,Serie A,Antonio Candreva,ITA,"FW,MF",28,1987,30,28,2187,24.3,10,3,4,6,8,4,0,0.41,0.12,0.53,0.16,0.29,https://fbref.com/en/players/356c9002/Antonio-Candreva
2017,Burnley,Premier League,Sam Vokes,WAL,FW,26,1989,37,21,2064,22.9,10,3,8,2,2,0,0,0.44,0.13,0.57,0.35,0.48,https://fbref.com/en/players/1d6ac165/Sam-Vokes
2017,Udinese,Serie A,Duván Zapata,COL,FW,25,1991,38,37,3141,34.9,10,3,9,1,1,3,0,0.29,0.09,0.37,0.26,0.34,https://fbref.com/en/players/d3de9af0/Duvan-Zapata
